"filename", "language", "C", "comment", "blank", "total"
"/home/nexos/sources/nexnix/source/nexke/cpu/i386/mul.c", "C", 2, -1, 0, 1
"/home/nexos/sources/nexnix/source/nexke/cpu/i386/mulpae.c", "C", 314, 91, 10, 415
"/home/nexos/sources/nexnix/source/nexke/include/nexke/nexke.h", "C", 10, 2, 2, 14
"Total", "-", 326, 92, 12, 430
