"filename", "language", "Shell Script", "Markdown", "C", "CMake", "C++", "Properties", "Diff", "ARM", "comment", "blank", "total"
"/home/nexos/sources/nexnix/source/nexboot/include/nexboot/drivers/time.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 16, 5, 26
"/home/nexos/sources/nexnix/source/nexboot/include/nexboot/drivers/uart16550.h", "C++", 0, 0, 0, 0, 11, 0, 0, 0, 16, 5, 32
"/home/nexos/sources/nexnix/source/nexboot/include/nexboot/drivers/vgaconsole.h", "C++", 0, 0, 0, 0, 21, 0, 0, 0, 17, 8, 46
"/home/nexos/sources/nexnix/source/nexboot/include/nexboot/drivers/volume.h", "C++", 0, 0, 0, 0, 27, 0, 0, 0, 21, 10, 58
"/home/nexos/sources/nexnix/source/nexboot/include/nexboot/efi/efi.h", "C++", 0, 0, 0, 0, 28, 0, 0, 0, 34, 22, 84
"/home/nexos/sources/nexnix/source/nexboot/include/nexboot/fw.h", "C++", 0, 0, 0, 0, 101, 0, 0, 0, 45, 34, 180
"/home/nexos/sources/nexnix/source/nexboot/include/nexboot/nexboot.h", "C++", 0, 0, 0, 0, 39, 0, 0, 0, 39, 25, 103
"/home/nexos/sources/nexnix/source/nexboot/include/nexboot/nexnix.h", "C++", 0, 0, 0, 0, 59, 0, 0, 0, 31, 10, 100
"/home/nexos/sources/nexnix/source/nexboot/include/nexboot/object.h", "C++", 0, 0, 0, 0, 79, 0, 0, 0, 37, 30, 146
"/home/nexos/sources/nexnix/source/nexboot/include/nexboot/object_types.h", "C++", 0, 0, 0, 0, 21, 0, 0, 0, 16, 5, 42
"/home/nexos/sources/nexnix/source/nexboot/include/nexboot/os.h", "C++", 0, 0, 0, 0, 27, 0, 0, 0, 21, 13, 61
"/home/nexos/sources/nexnix/source/nexboot/include/nexboot/shell.h", "C++", 0, 0, 0, 0, 19, 0, 0, 0, 29, 17, 65
"/home/nexos/sources/nexnix/source/nexboot/include/nexboot/ui.h", "C++", 0, 0, 0, 0, 74, 0, 0, 0, 32, 20, 126
"/home/nexos/sources/nexnix/source/nexboot/include/nexboot/vfs.h", "C++", 0, 0, 0, 0, 74, 0, 0, 0, 22, 17, 113
"/home/nexos/sources/nexnix/source/nexboot/src/cmds/mountcmd.c", "C", 0, 0, 61, 0, 0, 0, 0, 0, 23, 4, 88
"/home/nexos/sources/nexnix/source/nexboot/src/cmds/objcmd.c", "C", 0, 0, 145, 0, 0, 0, 0, 0, 36, 8, 189
"/home/nexos/sources/nexnix/source/nexboot/src/cmds/shellbase.c", "C", 0, 0, 236, 0, 0, 0, 0, 0, 48, 13, 297
"/home/nexos/sources/nexnix/source/nexboot/src/cmds/shellcmds.h", "C++", 0, 0, 0, 0, 55, 0, 0, 0, 17, 8, 80
"/home/nexos/sources/nexnix/source/nexboot/src/conf/conf.h", "C++", 0, 0, 0, 0, 104, 0, 0, 0, 34, 21, 159
"/home/nexos/sources/nexnix/source/nexboot/src/conf/lex.c", "C", 0, 0, 576, 0, 0, 0, 0, 0, 87, 24, 687
"/home/nexos/sources/nexnix/source/nexboot/src/conf/parse.c", "C", 0, 0, 356, 0, 0, 0, 0, 0, 60, 15, 431
"/home/nexos/sources/nexnix/source/nexboot/src/driver.c", "C", 0, 0, 86, 0, 0, 0, 0, 0, 26, 10, 122
"/home/nexos/sources/nexnix/source/nexboot/src/drivers.h", "C++", 0, 0, 0, 0, 30, 0, 0, 0, 19, 7, 56
"/home/nexos/sources/nexnix/source/nexboot/src/elf.c", "C", 0, 0, 156, 0, 0, 0, 0, 0, 43, 6, 205
"/home/nexos/sources/nexnix/source/nexboot/src/filesys/fat.c", "C", 0, 0, 1038, 0, 0, 0, 0, 0, 191, 52, 1281
"/home/nexos/sources/nexnix/source/nexboot/src/filesys/fstable.h", "C++", 0, 0, 0, 0, 33, 0, 0, 0, 19, 8, 60
"/home/nexos/sources/nexnix/source/nexboot/src/filesys/include/fat.h", "C++", 0, 0, 0, 0, 12, 0, 0, 0, 16, 5, 33
"/home/nexos/sources/nexnix/source/nexboot/src/filesys/include/iso9660.h", "C++", 0, 0, 0, 0, 12, 0, 0, 0, 16, 5, 33
"/home/nexos/sources/nexnix/source/nexboot/src/filesys/iso9660.c", "C", 0, 0, 517, 0, 0, 0, 0, 0, 90, 34, 641
"/home/nexos/sources/nexnix/source/nexboot/src/log.c", "C", 0, 0, 303, 0, 0, 0, 0, 0, 53, 30, 386
"/home/nexos/sources/nexnix/source/nexboot/src/main.c", "C", 0, 0, 78, 0, 0, 0, 0, 0, 41, 7, 126
"/home/nexos/sources/nexnix/source/nexboot/src/memmgr.c", "C", 0, 0, 380, 0, 0, 0, 0, 0, 77, 22, 479
"/home/nexos/sources/nexnix/source/nexboot/src/menu.c", "C", 0, 0, 350, 0, 0, 0, 0, 0, 88, 21, 459
"/home/nexos/sources/nexnix/source/nexboot/src/nexnix.c", "C", 0, 0, 158, 0, 0, 0, 0, 0, 50, 4, 212
"/home/nexos/sources/nexnix/source/nexboot/src/object.c", "C", 0, 0, 311, 0, 0, 0, 0, 0, 66, 29, 406
"/home/nexos/sources/nexnix/source/nexboot/src/shell.c", "C", 0, 0, 419, 0, 0, 0, 0, 0, 101, 40, 560
"/home/nexos/sources/nexnix/source/nexboot/src/ui/textui.c", "C", 0, 0, 176, 0, 0, 0, 0, 0, 43, 17, 236
"/home/nexos/sources/nexnix/source/nexboot/src/ui/ui.c", "C", 0, 0, 259, 0, 0, 0, 0, 0, 75, 17, 351
"/home/nexos/sources/nexnix/source/nexboot/src/vfs.c", "C", 0, 0, 295, 0, 0, 0, 0, 0, 44, 28, 367
"/home/nexos/sources/nexnix/source/nexke/CMakeLists.txt", "CMake", 0, 0, 0, 110, 0, 0, 0, 0, 0, 25, 135
"/home/nexos/sources/nexnix/source/nexke/README.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/nexos/sources/nexnix/source/nexke/core/fbcons.c", "C", 0, 0, 249, 0, 0, 0, 0, 0, 49, 22, 320
"/home/nexos/sources/nexnix/source/nexke/core/log.c", "C", 0, 0, 118, 0, 0, 0, 0, 0, 40, 14, 172
